"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Hungary (HU)","Actual Total Load [MW] - Hungary (HU)"
"23.08.2022 20:45 - 23.08.2022 21:00","5262","5316"
"23.08.2022 21:00 - 23.08.2022 21:15","5204","5247"
"23.08.2022 21:15 - 23.08.2022 21:30","5107","5174"
"23.08.2022 21:30 - 23.08.2022 21:45","5000","5086"
"23.08.2022 21:45 - 23.08.2022 22:00","4890","4973"
"23.08.2022 22:00 - 23.08.2022 22:15","4807","4915"
"23.08.2022 22:15 - 23.08.2022 22:30","4749","4877"
"23.08.2022 22:30 - 23.08.2022 22:45","4715","4820"
"23.08.2022 22:45 - 23.08.2022 23:00","4606","4754"
"23.08.2022 23:00 - 23.08.2022 23:15","4543","4728"
"23.08.2022 23:15 - 23.08.2022 23:30","4495","4687"
"23.08.2022 23:30 - 23.08.2022 23:45","4459","4651"
"23.08.2022 23:45 - 24.08.2022 00:00","4355","4561"
"24.08.2022 00:00 - 24.08.2022 00:15","4222","4441"
"24.08.2022 00:15 - 24.08.2022 00:30","4134","4371"
"24.08.2022 00:30 - 24.08.2022 00:45","4093","4332"
"24.08.2022 00:45 - 24.08.2022 01:00","4118","4256"
"24.08.2022 01:00 - 24.08.2022 01:15","4085","4210"
"24.08.2022 01:15 - 24.08.2022 01:30","3982","4152"
"24.08.2022 01:30 - 24.08.2022 01:45","3879","4099"
"24.08.2022 01:45 - 24.08.2022 02:00","3859","4052"
"24.08.2022 02:00 - 24.08.2022 02:15","3817","4005"
"24.08.2022 02:15 - 24.08.2022 02:30","3740","3995"
"24.08.2022 02:30 - 24.08.2022 02:45","3699","3970"
"24.08.2022 02:45 - 24.08.2022 03:00","3657","3948"
"24.08.2022 03:00 - 24.08.2022 03:15","3676","3962"
"24.08.2022 03:15 - 24.08.2022 03:30","3667","3956"
"24.08.2022 03:30 - 24.08.2022 03:45","3650","3938"
"24.08.2022 03:45 - 24.08.2022 04:00","3610","3933"
"24.08.2022 04:00 - 24.08.2022 04:15","3655","3964"
"24.08.2022 04:15 - 24.08.2022 04:30","3684","3993"
"24.08.2022 04:30 - 24.08.2022 04:45","3722","4034"
"24.08.2022 04:45 - 24.08.2022 05:00","3740","4088"
"24.08.2022 05:00 - 24.08.2022 05:15","3832","4154"
"24.08.2022 05:15 - 24.08.2022 05:30","3871","4214"
"24.08.2022 05:30 - 24.08.2022 05:45","3899","4255"
"24.08.2022 05:45 - 24.08.2022 06:00","3913","4283"
"24.08.2022 06:00 - 24.08.2022 06:15","4048","4489"
"24.08.2022 06:15 - 24.08.2022 06:30","4198","4640"
"24.08.2022 06:30 - 24.08.2022 06:45","4297","4712"
"24.08.2022 06:45 - 24.08.2022 07:00","4347","4782"
"24.08.2022 07:00 - 24.08.2022 07:15","4453","4899"
"24.08.2022 07:15 - 24.08.2022 07:30","4546","4946"
"24.08.2022 07:30 - 24.08.2022 07:45","4596","4958"
"24.08.2022 07:45 - 24.08.2022 08:00","4591","4974"
"24.08.2022 08:00 - 24.08.2022 08:15","4651","4983"
"24.08.2022 08:15 - 24.08.2022 08:30","4751","5025"
"24.08.2022 08:30 - 24.08.2022 08:45","4778","5067"
"24.08.2022 08:45 - 24.08.2022 09:00","4820","5062"
"24.08.2022 09:00 - 24.08.2022 09:15","4842","5070"
"24.08.2022 09:15 - 24.08.2022 09:30","4879","5084"
"24.08.2022 09:30 - 24.08.2022 09:45","4929","5086"
"24.08.2022 09:45 - 24.08.2022 10:00","4853","5081"
"24.08.2022 10:00 - 24.08.2022 10:15","4855","5061"
"24.08.2022 10:15 - 24.08.2022 10:30","4869","5095"
"24.08.2022 10:30 - 24.08.2022 10:45","4892","5070"
"24.08.2022 10:45 - 24.08.2022 11:00","4901","5072"
"24.08.2022 11:00 - 24.08.2022 11:15","4919","5081"
"24.08.2022 11:15 - 24.08.2022 11:30","4972","5121"
"24.08.2022 11:30 - 24.08.2022 11:45","5000","5071"
"24.08.2022 11:45 - 24.08.2022 12:00","5008","5091"
"24.08.2022 12:00 - 24.08.2022 12:15","5026","5048"
"24.08.2022 12:15 - 24.08.2022 12:30","5049","5084"
"24.08.2022 12:30 - 24.08.2022 12:45","5097","5131"
"24.08.2022 12:45 - 24.08.2022 13:00","5186","5170"
"24.08.2022 13:00 - 24.08.2022 13:15","5158","5099"
"24.08.2022 13:15 - 24.08.2022 13:30","5188","5055"
"24.08.2022 13:30 - 24.08.2022 13:45","5192","5016"
"24.08.2022 13:45 - 24.08.2022 14:00","5117","4933"
"24.08.2022 14:00 - 24.08.2022 14:15","5099","4969"
"24.08.2022 14:15 - 24.08.2022 14:30","5103","5013"
"24.08.2022 14:30 - 24.08.2022 14:45","5099","5046"
"24.08.2022 14:45 - 24.08.2022 15:00","5231","5086"
"24.08.2022 15:00 - 24.08.2022 15:15","5189","5122"
"24.08.2022 15:15 - 24.08.2022 15:30","5197","5140"
"24.08.2022 15:30 - 24.08.2022 15:45","5260","5184"
"24.08.2022 15:45 - 24.08.2022 16:00","5239","5184"
"24.08.2022 16:00 - 24.08.2022 16:15","5175","5205"
"24.08.2022 16:15 - 24.08.2022 16:30","5201","5212"
"24.08.2022 16:30 - 24.08.2022 16:45","5229","5243"
"24.08.2022 16:45 - 24.08.2022 17:00","5239","5253"
"24.08.2022 17:00 - 24.08.2022 17:15","5188","5257"
"24.08.2022 17:15 - 24.08.2022 17:30","5149","5279"
"24.08.2022 17:30 - 24.08.2022 17:45","5130","5267"
"24.08.2022 17:45 - 24.08.2022 18:00","5085","5266"
"24.08.2022 18:00 - 24.08.2022 18:15","5075","5281"
"24.08.2022 18:15 - 24.08.2022 18:30","5091","5288"
"24.08.2022 18:30 - 24.08.2022 18:45","5105","5328"
"24.08.2022 18:45 - 24.08.2022 19:00","5110","5337"
"24.08.2022 19:00 - 24.08.2022 19:15","5135","5342"
"24.08.2022 19:15 - 24.08.2022 19:30","5140","5341"
"24.08.2022 19:30 - 24.08.2022 19:45","5160","5378"
"24.08.2022 19:45 - 24.08.2022 20:00","5205","5443"
"24.08.2022 20:00 - 24.08.2022 20:15","5228","5516"
"24.08.2022 20:15 - 24.08.2022 20:30","5300","5512"
"24.08.2022 20:30 - 24.08.2022 20:45","5302","5479"
"24.08.2022 20:45 - 24.08.2022 21:00","5262","5418"
"24.08.2022 21:00 - 24.08.2022 21:15","5204","5331"
"24.08.2022 21:15 - 24.08.2022 21:30","5107","5255"
"24.08.2022 21:30 - 24.08.2022 21:45","5000","5148"
"24.08.2022 21:45 - 24.08.2022 22:00","4890","5054"
"24.08.2022 22:00 - 24.08.2022 22:15","4807","4980"
"24.08.2022 22:15 - 24.08.2022 22:30","4749","4923"
"24.08.2022 22:30 - 24.08.2022 22:45","4715","4869"
"24.08.2022 22:45 - 24.08.2022 23:00","4606","4796"
"24.08.2022 23:00 - 24.08.2022 23:15","4543","4772"
"24.08.2022 23:15 - 24.08.2022 23:30","4495","4730"
"24.08.2022 23:30 - 24.08.2022 23:45","4459","4705"
"24.08.2022 23:45 - 25.08.2022 00:00","4355","4622"
"25.08.2022 00:00 - 25.08.2022 00:15","4234","4472"
"25.08.2022 00:15 - 25.08.2022 00:30","4170","4411"
"25.08.2022 00:30 - 25.08.2022 00:45","4141","4390"
"25.08.2022 00:45 - 25.08.2022 01:00","4137","4341"
"25.08.2022 01:00 - 25.08.2022 01:15","4109","4288"
"25.08.2022 01:15 - 25.08.2022 01:30","4008","4237"
"25.08.2022 01:30 - 25.08.2022 01:45","3912","4175"
"25.08.2022 01:45 - 25.08.2022 02:00","3895","4114"
"25.08.2022 02:00 - 25.08.2022 02:15","3842","4080"
"25.08.2022 02:15 - 25.08.2022 02:30","3784","4078"
"25.08.2022 02:30 - 25.08.2022 02:45","3757","4043"
"25.08.2022 02:45 - 25.08.2022 03:00","3739","4020"
"25.08.2022 03:00 - 25.08.2022 03:15","3736","4039"
"25.08.2022 03:15 - 25.08.2022 03:30","3725","4033"
"25.08.2022 03:30 - 25.08.2022 03:45","3721","4021"
"25.08.2022 03:45 - 25.08.2022 04:00","3710","4011"
"25.08.2022 04:00 - 25.08.2022 04:15","3755","4037"
"25.08.2022 04:15 - 25.08.2022 04:30","3790","4072"
"25.08.2022 04:30 - 25.08.2022 04:45","3825","4104"
"25.08.2022 04:45 - 25.08.2022 05:00","3877","4166"
"25.08.2022 05:00 - 25.08.2022 05:15","3971","4246"
"25.08.2022 05:15 - 25.08.2022 05:30","4010","4288"
"25.08.2022 05:30 - 25.08.2022 05:45","4077","4306"
"25.08.2022 05:45 - 25.08.2022 06:00","4103","4354"
"25.08.2022 06:00 - 25.08.2022 06:15","4270","4546"
"25.08.2022 06:15 - 25.08.2022 06:30","4410","4688"
"25.08.2022 06:30 - 25.08.2022 06:45","4523","4761"
"25.08.2022 06:45 - 25.08.2022 07:00","4587","4819"
"25.08.2022 07:00 - 25.08.2022 07:15","4709","4931"
"25.08.2022 07:15 - 25.08.2022 07:30","4732","4974"
"25.08.2022 07:30 - 25.08.2022 07:45","4742","4984"
"25.08.2022 07:45 - 25.08.2022 08:00","4709","4957"
"25.08.2022 08:00 - 25.08.2022 08:15","4681","4931"
"25.08.2022 08:15 - 25.08.2022 08:30","4652","4943"
"25.08.2022 08:30 - 25.08.2022 08:45","4642","4945"
"25.08.2022 08:45 - 25.08.2022 09:00","4599","4978"
"25.08.2022 09:00 - 25.08.2022 09:15","4600","4971"
"25.08.2022 09:15 - 25.08.2022 09:30","4589","4901"
"25.08.2022 09:30 - 25.08.2022 09:45","4584","4903"
"25.08.2022 09:45 - 25.08.2022 10:00","4553","4872"
"25.08.2022 10:00 - 25.08.2022 10:15","4542","4862"
"25.08.2022 10:15 - 25.08.2022 10:30","4581","4876"
"25.08.2022 10:30 - 25.08.2022 10:45","4575","4865"
"25.08.2022 10:45 - 25.08.2022 11:00","4559","4878"
"25.08.2022 11:00 - 25.08.2022 11:15","4509","4868"
"25.08.2022 11:15 - 25.08.2022 11:30","4558","4875"
"25.08.2022 11:30 - 25.08.2022 11:45","4568","4881"
"25.08.2022 11:45 - 25.08.2022 12:00","4585","4895"
"25.08.2022 12:00 - 25.08.2022 12:15","4537","4896"
"25.08.2022 12:15 - 25.08.2022 12:30","4567","4928"
"25.08.2022 12:30 - 25.08.2022 12:45","4620","4953"
"25.08.2022 12:45 - 25.08.2022 13:00","4608","4953"
"25.08.2022 13:00 - 25.08.2022 13:15","4617","4959"
"25.08.2022 13:15 - 25.08.2022 13:30","4629","4978"
"25.08.2022 13:30 - 25.08.2022 13:45","4608","4960"
"25.08.2022 13:45 - 25.08.2022 14:00","4562","4910"
"25.08.2022 14:00 - 25.08.2022 14:15","4620","4982"
"25.08.2022 14:15 - 25.08.2022 14:30","4676","5041"
"25.08.2022 14:30 - 25.08.2022 14:45","4721","5106"
"25.08.2022 14:45 - 25.08.2022 15:00","4736","5133"
"25.08.2022 15:00 - 25.08.2022 15:15","4767","5172"
"25.08.2022 15:15 - 25.08.2022 15:30","4806","5193"
"25.08.2022 15:30 - 25.08.2022 15:45","4854","5271"
"25.08.2022 15:45 - 25.08.2022 16:00","4845","5334"
"25.08.2022 16:00 - 25.08.2022 16:15","4902","5383"
"25.08.2022 16:15 - 25.08.2022 16:30","4954","5415"
"25.08.2022 16:30 - 25.08.2022 16:45","4966","5442"
"25.08.2022 16:45 - 25.08.2022 17:00","4983","5462"
"25.08.2022 17:00 - 25.08.2022 17:15","5031","5478"
"25.08.2022 17:15 - 25.08.2022 17:30","5046","5520"
"25.08.2022 17:30 - 25.08.2022 17:45","5084","5525"
"25.08.2022 17:45 - 25.08.2022 18:00","5096","5528"
"25.08.2022 18:00 - 25.08.2022 18:15","5066","5564"
"25.08.2022 18:15 - 25.08.2022 18:30","5081","5572"
"25.08.2022 18:30 - 25.08.2022 18:45","5120","5594"
"25.08.2022 18:45 - 25.08.2022 19:00","5150","5612"
"25.08.2022 19:00 - 25.08.2022 19:15","5174","5589"
"25.08.2022 19:15 - 25.08.2022 19:30","5200","5586"
"25.08.2022 19:30 - 25.08.2022 19:45","5224","5603"
"25.08.2022 19:45 - 25.08.2022 20:00","5255","5682"
"25.08.2022 20:00 - 25.08.2022 20:15","5272","5740"
"25.08.2022 20:15 - 25.08.2022 20:30","5285","5720"
"25.08.2022 20:30 - 25.08.2022 20:45","5310","5703"
"25.08.2022 20:45 - 25.08.2022 21:00","5291","5613"
"25.08.2022 21:00 - 25.08.2022 21:15","5136","5541"
"25.08.2022 21:15 - 25.08.2022 21:30","4991","5454"
"25.08.2022 21:30 - 25.08.2022 21:45","4878","5327"
"25.08.2022 21:45 - 25.08.2022 22:00","4751","5222"
"25.08.2022 22:00 - 25.08.2022 22:15","4665","5155"
"25.08.2022 22:15 - 25.08.2022 22:30","4600","5102"
"25.08.2022 22:30 - 25.08.2022 22:45","4560","5077"
"25.08.2022 22:45 - 25.08.2022 23:00","4494","4978"
"25.08.2022 23:00 - 25.08.2022 23:15","4473","4941"
"25.08.2022 23:15 - 25.08.2022 23:30","4414","4879"
"25.08.2022 23:30 - 25.08.2022 23:45","4410","4843"
"25.08.2022 23:45 - 26.08.2022 00:00","4291","4748"
"26.08.2022 00:00 - 26.08.2022 00:15","4254","4616"
"26.08.2022 00:15 - 26.08.2022 00:30","4191","4553"
"26.08.2022 00:30 - 26.08.2022 00:45","4151","4510"
"26.08.2022 00:45 - 26.08.2022 01:00","4133","4450"
"26.08.2022 01:00 - 26.08.2022 01:15","4085","4393"
"26.08.2022 01:15 - 26.08.2022 01:30","3997","4338"
"26.08.2022 01:30 - 26.08.2022 01:45","3935","4280"
"26.08.2022 01:45 - 26.08.2022 02:00","3953","4214"
"26.08.2022 02:00 - 26.08.2022 02:15","3913","4183"
"26.08.2022 02:15 - 26.08.2022 02:30","3864","4157"
"26.08.2022 02:30 - 26.08.2022 02:45","3854","4125"
"26.08.2022 02:45 - 26.08.2022 03:00","3838","4093"
"26.08.2022 03:00 - 26.08.2022 03:15","3811","4094"
"26.08.2022 03:15 - 26.08.2022 03:30","3753","4086"
"26.08.2022 03:30 - 26.08.2022 03:45","3755","4075"
"26.08.2022 03:45 - 26.08.2022 04:00","3707","4080"
"26.08.2022 04:00 - 26.08.2022 04:15","3753","4095"
"26.08.2022 04:15 - 26.08.2022 04:30","3786","4111"
"26.08.2022 04:30 - 26.08.2022 04:45","3824","4152"
"26.08.2022 04:45 - 26.08.2022 05:00","3815","4195"
"26.08.2022 05:00 - 26.08.2022 05:15","3899","4279"
"26.08.2022 05:15 - 26.08.2022 05:30","3937","4316"
"26.08.2022 05:30 - 26.08.2022 05:45","4006","4337"
"26.08.2022 05:45 - 26.08.2022 06:00","3993","4367"
"26.08.2022 06:00 - 26.08.2022 06:15","4211","4544"
"26.08.2022 06:15 - 26.08.2022 06:30","4363","4691"
"26.08.2022 06:30 - 26.08.2022 06:45","4487","4767"
"26.08.2022 06:45 - 26.08.2022 07:00","4534","4821"
"26.08.2022 07:00 - 26.08.2022 07:15","4671","4912"
"26.08.2022 07:15 - 26.08.2022 07:30","4714","4951"
"26.08.2022 07:30 - 26.08.2022 07:45","4737","4970"
"26.08.2022 07:45 - 26.08.2022 08:00","4715","4952"
"26.08.2022 08:00 - 26.08.2022 08:15","4692","4938"
"26.08.2022 08:15 - 26.08.2022 08:30","4684","4939"
"26.08.2022 08:30 - 26.08.2022 08:45","4677","4951"
"26.08.2022 08:45 - 26.08.2022 09:00","4650","4945"
"26.08.2022 09:00 - 26.08.2022 09:15","4558","4946"
"26.08.2022 09:15 - 26.08.2022 09:30","4562","4885"
"26.08.2022 09:30 - 26.08.2022 09:45","4549","4873"
"26.08.2022 09:45 - 26.08.2022 10:00","4506","4850"
"26.08.2022 10:00 - 26.08.2022 10:15","4497","4886"
"26.08.2022 10:15 - 26.08.2022 10:30","4509","4844"
"26.08.2022 10:30 - 26.08.2022 10:45","4519","4859"
"26.08.2022 10:45 - 26.08.2022 11:00","4504","4891"
"26.08.2022 11:00 - 26.08.2022 11:15","4515","4883"
"26.08.2022 11:15 - 26.08.2022 11:30","4541","4907"
"26.08.2022 11:30 - 26.08.2022 11:45","4533","4929"
"26.08.2022 11:45 - 26.08.2022 12:00","4540","4944"
"26.08.2022 12:00 - 26.08.2022 12:15","4551","4948"
"26.08.2022 12:15 - 26.08.2022 12:30","4594","4982"
"26.08.2022 12:30 - 26.08.2022 12:45","4633","5018"
"26.08.2022 12:45 - 26.08.2022 13:00","4636","5011"
"26.08.2022 13:00 - 26.08.2022 13:15","4666","5021"
"26.08.2022 13:15 - 26.08.2022 13:30","4678","5023"
"26.08.2022 13:30 - 26.08.2022 13:45","4587","4988"
"26.08.2022 13:45 - 26.08.2022 14:00","4548","4938"
"26.08.2022 14:00 - 26.08.2022 14:15","4578","4982"
"26.08.2022 14:15 - 26.08.2022 14:30","4602","5033"
"26.08.2022 14:30 - 26.08.2022 14:45","4593","5066"
"26.08.2022 14:45 - 26.08.2022 15:00","4639","5102"
"26.08.2022 15:00 - 26.08.2022 15:15","4672","5171"
"26.08.2022 15:15 - 26.08.2022 15:30","4680","5182"
"26.08.2022 15:30 - 26.08.2022 15:45","4776","5266"
"26.08.2022 15:45 - 26.08.2022 16:00","4816","5293"
"26.08.2022 16:00 - 26.08.2022 16:15","4900","5367"
"26.08.2022 16:15 - 26.08.2022 16:30","4903","5441"
"26.08.2022 16:30 - 26.08.2022 16:45","4927","5480"
"26.08.2022 16:45 - 26.08.2022 17:00","4964","5488"
"26.08.2022 17:00 - 26.08.2022 17:15","4978","5507"
"26.08.2022 17:15 - 26.08.2022 17:30","4991","5533"
"26.08.2022 17:30 - 26.08.2022 17:45","5030","5529"
"26.08.2022 17:45 - 26.08.2022 18:00","5049","5529"
"26.08.2022 18:00 - 26.08.2022 18:15","5031","5544"
"26.08.2022 18:15 - 26.08.2022 18:30","5034","5559"
"26.08.2022 18:30 - 26.08.2022 18:45","5027","5571"
"26.08.2022 18:45 - 26.08.2022 19:00","4996","5574"
"26.08.2022 19:00 - 26.08.2022 19:15","5059","5543"
"26.08.2022 19:15 - 26.08.2022 19:30","5080","5523"
"26.08.2022 19:30 - 26.08.2022 19:45","5050","5534"
"26.08.2022 19:45 - 26.08.2022 20:00","5107","5586"
"26.08.2022 20:00 - 26.08.2022 20:15","5200","5620"
"26.08.2022 20:15 - 26.08.2022 20:30","5108","5603"
"26.08.2022 20:30 - 26.08.2022 20:45","5090","5572"
"26.08.2022 20:45 - 26.08.2022 21:00","5013","5485"
"26.08.2022 21:00 - 26.08.2022 21:15","4954","5403"
"26.08.2022 21:15 - 26.08.2022 21:30","4871","5330"
"26.08.2022 21:30 - 26.08.2022 21:45","4772","5220"
"26.08.2022 21:45 - 26.08.2022 22:00","4682","5130"
"26.08.2022 22:00 - 26.08.2022 22:15","4614","5077"
"26.08.2022 22:15 - 26.08.2022 22:30","4575","5004"
"26.08.2022 22:30 - 26.08.2022 22:45","4535","4946"
"26.08.2022 22:45 - 26.08.2022 23:00","4485","4879"
"26.08.2022 23:00 - 26.08.2022 23:15","4462","4838"
"26.08.2022 23:15 - 26.08.2022 23:30","4417","4780"
"26.08.2022 23:30 - 26.08.2022 23:45","4382","4744"
"26.08.2022 23:45 - 27.08.2022 00:00","4275","4661"
"27.08.2022 00:00 - 27.08.2022 00:15","4120","4535"
"27.08.2022 00:15 - 27.08.2022 00:30","4048","4478"
"27.08.2022 00:30 - 27.08.2022 00:45","4004","4451"
"27.08.2022 00:45 - 27.08.2022 01:00","3955","4377"
"27.08.2022 01:00 - 27.08.2022 01:15","3912","4324"
"27.08.2022 01:15 - 27.08.2022 01:30","3832","4254"
"27.08.2022 01:30 - 27.08.2022 01:45","3773","4192"
"27.08.2022 01:45 - 27.08.2022 02:00","3762","4142"
"27.08.2022 02:00 - 27.08.2022 02:15","3752","4097"
"27.08.2022 02:15 - 27.08.2022 02:30","3724","4072"
"27.08.2022 02:30 - 27.08.2022 02:45","3692","4043"
"27.08.2022 02:45 - 27.08.2022 03:00","3696","4015"
"27.08.2022 03:00 - 27.08.2022 03:15","3676","3989"
"27.08.2022 03:15 - 27.08.2022 03:30","3626","3983"
"27.08.2022 03:30 - 27.08.2022 03:45","3593","3960"
"27.08.2022 03:45 - 27.08.2022 04:00","3604","3947"
"27.08.2022 04:00 - 27.08.2022 04:15","3607","3953"
"27.08.2022 04:15 - 27.08.2022 04:30","3624","3957"
"27.08.2022 04:30 - 27.08.2022 04:45","3613","3965"
"27.08.2022 04:45 - 27.08.2022 05:00","3604","3980"
"27.08.2022 05:00 - 27.08.2022 05:15","3577","4008"
"27.08.2022 05:15 - 27.08.2022 05:30","3537","3984"
"27.08.2022 05:30 - 27.08.2022 05:45","3472","3936"
"27.08.2022 05:45 - 27.08.2022 06:00","3465","3891"
"27.08.2022 06:00 - 27.08.2022 06:15","3527","3951"
"27.08.2022 06:15 - 27.08.2022 06:30","3583","3997"
"27.08.2022 06:30 - 27.08.2022 06:45","3595","4024"
"27.08.2022 06:45 - 27.08.2022 07:00","3604","4056"
"27.08.2022 07:00 - 27.08.2022 07:15","3665","4099"
"27.08.2022 07:15 - 27.08.2022 07:30","3697","4115"
"27.08.2022 07:30 - 27.08.2022 07:45","3744","4143"
"27.08.2022 07:45 - 27.08.2022 08:00","3774","4151"
"27.08.2022 08:00 - 27.08.2022 08:15","3792","4171"
"27.08.2022 08:15 - 27.08.2022 08:30","3855","4212"
"27.08.2022 08:30 - 27.08.2022 08:45","3878","4240"
"27.08.2022 08:45 - 27.08.2022 09:00","3909","4267"
"27.08.2022 09:00 - 27.08.2022 09:15","3955","4260"
"27.08.2022 09:15 - 27.08.2022 09:30","3957","4245"
"27.08.2022 09:30 - 27.08.2022 09:45","3966","4243"
"27.08.2022 09:45 - 27.08.2022 10:00","3977","4243"
"27.08.2022 10:00 - 27.08.2022 10:15","4012","4259"
"27.08.2022 10:15 - 27.08.2022 10:30","3967","4268"
"27.08.2022 10:30 - 27.08.2022 10:45","3921","4253"
"27.08.2022 10:45 - 27.08.2022 11:00","3946","4255"
"27.08.2022 11:00 - 27.08.2022 11:15","3965","4261"
"27.08.2022 11:15 - 27.08.2022 11:30","3987","4263"
"27.08.2022 11:30 - 27.08.2022 11:45","4012","4295"
"27.08.2022 11:45 - 27.08.2022 12:00","3989","4301"
"27.08.2022 12:00 - 27.08.2022 12:15","3992","4302"
"27.08.2022 12:15 - 27.08.2022 12:30","4028","4290"
"27.08.2022 12:30 - 27.08.2022 12:45","4085","4283"
"27.08.2022 12:45 - 27.08.2022 13:00","4076","4301"
"27.08.2022 13:00 - 27.08.2022 13:15","4044","4291"
"27.08.2022 13:15 - 27.08.2022 13:30","3988","4264"
"27.08.2022 13:30 - 27.08.2022 13:45","3954","4263"
"27.08.2022 13:45 - 27.08.2022 14:00","3983","4249"
"27.08.2022 14:00 - 27.08.2022 14:15","3972","4294"
"27.08.2022 14:15 - 27.08.2022 14:30","3967","4318"
"27.08.2022 14:30 - 27.08.2022 14:45","3990","4353"
"27.08.2022 14:45 - 27.08.2022 15:00","4020","4399"
"27.08.2022 15:00 - 27.08.2022 15:15","3971","4436"
"27.08.2022 15:15 - 27.08.2022 15:30","4006","4449"
"27.08.2022 15:30 - 27.08.2022 15:45","4041","4518"
"27.08.2022 15:45 - 27.08.2022 16:00","4125","4593"
"27.08.2022 16:00 - 27.08.2022 16:15","4184","4650"
"27.08.2022 16:15 - 27.08.2022 16:30","4227","4704"
"27.08.2022 16:30 - 27.08.2022 16:45","4218","4779"
"27.08.2022 16:45 - 27.08.2022 17:00","4225","4830"
"27.08.2022 17:00 - 27.08.2022 17:15","4237","4849"
"27.08.2022 17:15 - 27.08.2022 17:30","4265","4892"
"27.08.2022 17:30 - 27.08.2022 17:45","4272","4922"
"27.08.2022 17:45 - 27.08.2022 18:00","4275","4949"
"27.08.2022 18:00 - 27.08.2022 18:15","4316","4983"
"27.08.2022 18:15 - 27.08.2022 18:30","4335","4992"
"27.08.2022 18:30 - 27.08.2022 18:45","4342","5005"
"27.08.2022 18:45 - 27.08.2022 19:00","4363","5014"
"27.08.2022 19:00 - 27.08.2022 19:15","4389","5008"
"27.08.2022 19:15 - 27.08.2022 19:30","4394","5009"
"27.08.2022 19:30 - 27.08.2022 19:45","4412","5031"
"27.08.2022 19:45 - 27.08.2022 20:00","4450","5124"
"27.08.2022 20:00 - 27.08.2022 20:15","4492","5164"
"27.08.2022 20:15 - 27.08.2022 20:30","4616","5146"
"27.08.2022 20:30 - 27.08.2022 20:45","4634","5118"
"27.08.2022 20:45 - 27.08.2022 21:00","4604","5054"
"27.08.2022 21:00 - 27.08.2022 21:15","4557","4950"
"27.08.2022 21:15 - 27.08.2022 21:30","4482","4865"
"27.08.2022 21:30 - 27.08.2022 21:45","4421","4783"
"27.08.2022 21:45 - 27.08.2022 22:00","4334","4725"
"27.08.2022 22:00 - 27.08.2022 22:15","4264","4662"
"27.08.2022 22:15 - 27.08.2022 22:30","4168","4608"
"27.08.2022 22:30 - 27.08.2022 22:45","4113","4525"
"27.08.2022 22:45 - 27.08.2022 23:00","4032","4443"
"27.08.2022 23:00 - 27.08.2022 23:15","3983","4405"
"27.08.2022 23:15 - 27.08.2022 23:30","3902","4339"
"27.08.2022 23:30 - 27.08.2022 23:45","3867","4287"
"27.08.2022 23:45 - 28.08.2022 00:00","3800","4214"
"28.08.2022 00:00 - 28.08.2022 00:15","3735","4098"
"28.08.2022 00:15 - 28.08.2022 00:30","3686","4059"
"28.08.2022 00:30 - 28.08.2022 00:45","3642","4023"
"28.08.2022 00:45 - 28.08.2022 01:00","3574","3958"
"28.08.2022 01:00 - 28.08.2022 01:15","3537","3908"
"28.08.2022 01:15 - 28.08.2022 01:30","3511","3865"
"28.08.2022 01:30 - 28.08.2022 01:45","3484","3827"
"28.08.2022 01:45 - 28.08.2022 02:00","3519","3793"
"28.08.2022 02:00 - 28.08.2022 02:15","3474","3756"
"28.08.2022 02:15 - 28.08.2022 02:30","3461","3752"
"28.08.2022 02:30 - 28.08.2022 02:45","3432","3736"
"28.08.2022 02:45 - 28.08.2022 03:00","3409","3716"
"28.08.2022 03:00 - 28.08.2022 03:15","3401","3699"
"28.08.2022 03:15 - 28.08.2022 03:30","3340","3682"
"28.08.2022 03:30 - 28.08.2022 03:45","3342","3672"
"28.08.2022 03:45 - 28.08.2022 04:00","3313","3645"
"28.08.2022 04:00 - 28.08.2022 04:15","3316","3658"
"28.08.2022 04:15 - 28.08.2022 04:30","3313","3656"
"28.08.2022 04:30 - 28.08.2022 04:45","3336","3674"
"28.08.2022 04:45 - 28.08.2022 05:00","3291","3681"
"28.08.2022 05:00 - 28.08.2022 05:15","3272","3693"
"28.08.2022 05:15 - 28.08.2022 05:30","3194","3675"
"28.08.2022 05:30 - 28.08.2022 05:45","3195","3658"
"28.08.2022 05:45 - 28.08.2022 06:00","3175","3624"
"28.08.2022 06:00 - 28.08.2022 06:15","3274","3664"
"28.08.2022 06:15 - 28.08.2022 06:30","3312","3687"
"28.08.2022 06:30 - 28.08.2022 06:45","3360","3721"
"28.08.2022 06:45 - 28.08.2022 07:00","3342","3736"
"28.08.2022 07:00 - 28.08.2022 07:15","3413","3782"
"28.08.2022 07:15 - 28.08.2022 07:30","3473","3795"
"28.08.2022 07:30 - 28.08.2022 07:45","3530","3733"
"28.08.2022 07:45 - 28.08.2022 08:00","3542","3741"
"28.08.2022 08:00 - 28.08.2022 08:15","3598","3772"
"28.08.2022 08:15 - 28.08.2022 08:30","3652","3810"
"28.08.2022 08:30 - 28.08.2022 08:45","3716","3859"
"28.08.2022 08:45 - 28.08.2022 09:00","3721","3877"
"28.08.2022 09:00 - 28.08.2022 09:15","3800","3898"
"28.08.2022 09:15 - 28.08.2022 09:30","3866","3902"
