MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Norway (NO),Generation - Solar  [MW] Day Ahead/ Norway (NO),Generation - Solar  [MW] Day Ahead/ Norway (NO),Generation - Wind Offshore  [MW] Day Ahead/ Norway (NO),Generation - Wind Offshore  [MW] Day Ahead/ Norway (NO),Generation - Wind Offshore  [MW] Day Ahead/ Norway (NO),Generation - Wind Onshore  [MW] Day Ahead/ Norway (NO),Generation - Wind Onshore  [MW] Day Ahead/ Norway (NO),Generation - Wind Onshore  [MW] Day Ahead/ Norway (NO)
26.06.2022 01:00 - 26.06.2022 02:00,0,0,0,0,0,0,456,456,456
26.06.2022 02:00 - 26.06.2022 03:00,0,0,0,0,0,0,481,481,481
26.06.2022 03:00 - 26.06.2022 04:00,0,0,0,0,0,0,488,488,488
26.06.2022 04:00 - 26.06.2022 05:00,0,0,0,0,0,0,471,471,471
26.06.2022 05:00 - 26.06.2022 06:00,0,0,0,0,0,0,531,531,531
26.06.2022 06:00 - 26.06.2022 07:00,0,0,0,0,0,0,583,583,583
26.06.2022 07:00 - 26.06.2022 08:00,0,0,0,0,0,0,614,614,614
26.06.2022 08:00 - 26.06.2022 09:00,0,0,0,0,0,0,690,690,690
26.06.2022 09:00 - 26.06.2022 10:00,0,0,0,0,0,0,822,822,822
26.06.2022 10:00 - 26.06.2022 11:00,0,0,0,0,0,0,945,945,945
26.06.2022 11:00 - 26.06.2022 12:00,0,0,0,0,0,0,969,969,969
26.06.2022 12:00 - 26.06.2022 13:00,0,0,0,0,0,0,1060,1060,1060
26.06.2022 13:00 - 26.06.2022 14:00,0,0,0,0,0,0,1191,1191,1191
26.06.2022 14:00 - 26.06.2022 15:00,0,0,0,0,0,0,1096,1096,1096
26.06.2022 15:00 - 26.06.2022 16:00,0,0,0,0,0,0,1100,1100,1100
26.06.2022 16:00 - 26.06.2022 17:00,0,0,0,0,0,0,1066,1066,1066
26.06.2022 17:00 - 26.06.2022 18:00,0,0,0,0,0,0,949,949,949
26.06.2022 18:00 - 26.06.2022 19:00,0,0,0,0,0,0,928,928,928
26.06.2022 19:00 - 26.06.2022 20:00,0,0,0,0,0,0,1146,1146,1146
26.06.2022 20:00 - 26.06.2022 21:00,0,0,0,0,0,0,1127,1127,1127
26.06.2022 21:00 - 26.06.2022 22:00,0,0,0,0,0,0,1197,1197,1197
26.06.2022 22:00 - 26.06.2022 23:00,0,0,0,0,0,0,1253,1253,1253
26.06.2022 23:00 - 27.06.2022 00:00,0,0,0,0,0,0,1348,1348,1348
27.06.2022 00:00 - 27.06.2022 01:00,0,0,0,0,0,0,1319,1319,1319
27.06.2022 01:00 - 27.06.2022 02:00,0,0,0,0,0,0,1155,1155,1155
27.06.2022 02:00 - 27.06.2022 03:00,0,0,0,0,0,0,936,936,936
27.06.2022 03:00 - 27.06.2022 04:00,0,0,0,0,0,0,834,834,834
27.06.2022 04:00 - 27.06.2022 05:00,0,0,0,0,0,0,736,736,736
27.06.2022 05:00 - 27.06.2022 06:00,0,0,0,0,0,0,676,676,676
27.06.2022 06:00 - 27.06.2022 07:00,0,0,0,0,0,0,682,682,682
27.06.2022 07:00 - 27.06.2022 08:00,0,0,0,0,0,0,666,666,666
27.06.2022 08:00 - 27.06.2022 09:00,0,0,0,0,0,0,673,673,673
27.06.2022 09:00 - 27.06.2022 10:00,0,0,0,0,0,0,648,648,648
27.06.2022 10:00 - 27.06.2022 11:00,0,0,0,0,0,0,657,657,657
27.06.2022 11:00 - 27.06.2022 12:00,0,0,0,0,0,0,625,625,625
27.06.2022 12:00 - 27.06.2022 13:00,0,0,0,0,0,0,602,602,602
27.06.2022 13:00 - 27.06.2022 14:00,0,0,0,0,0,0,582,582,582
27.06.2022 14:00 - 27.06.2022 15:00,0,0,0,0,0,0,560,560,560
27.06.2022 15:00 - 27.06.2022 16:00,0,0,0,0,0,0,481,481,481
27.06.2022 16:00 - 27.06.2022 17:00,0,0,0,0,0,0,427,427,427
27.06.2022 17:00 - 27.06.2022 18:00,0,0,0,0,0,0,408,408,408
27.06.2022 18:00 - 27.06.2022 19:00,0,0,0,0,0,0,310,310,310
27.06.2022 19:00 - 27.06.2022 20:00,0,0,0,0,0,0,263,263,263
27.06.2022 20:00 - 27.06.2022 21:00,0,0,0,0,0,0,311,311,311
27.06.2022 21:00 - 27.06.2022 22:00,0,0,0,0,0,0,295,295,295
27.06.2022 22:00 - 27.06.2022 23:00,0,0,0,0,0,0,414,414,414
27.06.2022 23:00 - 28.06.2022 00:00,0,0,0,0,0,0,478,478,478
28.06.2022 00:00 - 28.06.2022 01:00,0,0,0,0,0,0,467,467,467
28.06.2022 01:00 - 28.06.2022 02:00,0,0,0,0,0,0,564,564,564
28.06.2022 02:00 - 28.06.2022 03:00,0,0,0,0,0,0,584,584,584
28.06.2022 03:00 - 28.06.2022 04:00,0,0,0,0,0,0,752,752,752
28.06.2022 04:00 - 28.06.2022 05:00,0,0,0,0,0,0,809,809,809
28.06.2022 05:00 - 28.06.2022 06:00,0,0,0,0,0,0,792,792,792
28.06.2022 06:00 - 28.06.2022 07:00,0,0,0,0,0,0,839,839,839
28.06.2022 07:00 - 28.06.2022 08:00,0,0,0,0,0,0,743,743,743
28.06.2022 08:00 - 28.06.2022 09:00,0,0,0,0,0,0,744,744,744
28.06.2022 09:00 - 28.06.2022 10:00,0,0,0,0,0,0,715,715,715
28.06.2022 10:00 - 28.06.2022 11:00,0,0,0,0,0,0,830,830,830
28.06.2022 11:00 - 28.06.2022 12:00,0,0,0,0,0,0,808,808,808
28.06.2022 12:00 - 28.06.2022 13:00,0,0,0,0,0,0,800,800,800
28.06.2022 13:00 - 28.06.2022 14:00,0,0,0,0,0,0,755,755,755
28.06.2022 14:00 - 28.06.2022 15:00,0,0,0,0,0,0,763,763,763
28.06.2022 15:00 - 28.06.2022 16:00,0,0,0,0,0,0,655,655,655
28.06.2022 16:00 - 28.06.2022 17:00,0,0,0,0,0,0,584,584,584
28.06.2022 17:00 - 28.06.2022 18:00,0,0,0,0,0,0,589,589,589
28.06.2022 18:00 - 28.06.2022 19:00,0,0,0,0,0,0,532,532,532
28.06.2022 19:00 - 28.06.2022 20:00,0,0,0,0,0,0,450,450,450
28.06.2022 20:00 - 28.06.2022 21:00,0,0,0,0,0,0,368,368,368
28.06.2022 21:00 - 28.06.2022 22:00,0,0,0,0,0,0,386,386,386
28.06.2022 22:00 - 28.06.2022 23:00,0,0,0,0,0,0,414,414,414
28.06.2022 23:00 - 29.06.2022 00:00,0,0,0,0,0,0,483,483,483
29.06.2022 00:00 - 29.06.2022 01:00,0,0,0,0,0,0,600,600,600
29.06.2022 01:00 - 29.06.2022 02:00,0,0,0,0,0,0,631,631,631
29.06.2022 02:00 - 29.06.2022 03:00,0,0,0,0,0,0,598,598,598
29.06.2022 03:00 - 29.06.2022 04:00,0,0,0,0,0,0,598,598,598
29.06.2022 04:00 - 29.06.2022 05:00,0,0,0,0,0,0,572,572,572
29.06.2022 05:00 - 29.06.2022 06:00,0,0,0,0,0,0,544,544,544
29.06.2022 06:00 - 29.06.2022 07:00,0,0,0,0,0,0,393,393,393
29.06.2022 07:00 - 29.06.2022 08:00,0,0,0,0,0,0,383,383,383
29.06.2022 08:00 - 29.06.2022 09:00,0,0,0,0,0,0,391,391,391
29.06.2022 09:00 - 29.06.2022 10:00,0,0,0,0,0,0,407,407,407
29.06.2022 10:00 - 29.06.2022 11:00,0,0,0,0,0,0,432,432,432
29.06.2022 11:00 - 29.06.2022 12:00,0,0,0,0,0,0,482,482,482
29.06.2022 12:00 - 29.06.2022 13:00,0,0,0,0,0,0,508,508,508
29.06.2022 13:00 - 29.06.2022 14:00,0,0,0,0,0,0,514,514,514
29.06.2022 14:00 - 29.06.2022 15:00,0,0,0,0,0,0,519,519,519
29.06.2022 15:00 - 29.06.2022 16:00,0,0,0,0,0,0,498,498,498
29.06.2022 16:00 - 29.06.2022 17:00,0,0,0,0,0,0,508,508,508
29.06.2022 17:00 - 29.06.2022 18:00,0,0,0,0,0,0,517,517,517
29.06.2022 18:00 - 29.06.2022 19:00,0,0,0,0,0,0,533,533,533
29.06.2022 19:00 - 29.06.2022 20:00,0,0,0,0,0,0,517,517,517
29.06.2022 20:00 - 29.06.2022 21:00,0,0,0,0,0,0,534,534,534
29.06.2022 21:00 - 29.06.2022 22:00,0,0,0,0,0,0,530,530,530
29.06.2022 22:00 - 29.06.2022 23:00,0,0,0,0,0,0,569,569,569
29.06.2022 23:00 - 30.06.2022 00:00,0,0,0,0,0,0,593,593,593
30.06.2022 00:00 - 30.06.2022 01:00,0,0,0,0,0,0,642,642,642
30.06.2022 01:00 - 30.06.2022 02:00,0,0,0,0,0,0,658,658,658
30.06.2022 02:00 - 30.06.2022 03:00,0,0,0,0,0,0,649,649,649
30.06.2022 03:00 - 30.06.2022 04:00,0,0,0,0,0,0,652,652,652
30.06.2022 04:00 - 30.06.2022 05:00,0,0,0,0,0,0,639,639,639
30.06.2022 05:00 - 30.06.2022 06:00,0,0,0,0,0,0,647,647,647
30.06.2022 06:00 - 30.06.2022 07:00,0,0,0,0,0,0,643,643,643
30.06.2022 07:00 - 30.06.2022 08:00,0,0,0,0,0,0,593,593,593
30.06.2022 08:00 - 30.06.2022 09:00,0,0,0,0,0,0,544,544,544
30.06.2022 09:00 - 30.06.2022 10:00,0,0,0,0,0,0,541,541,541
30.06.2022 10:00 - 30.06.2022 11:00,0,0,0,0,0,0,551,551,551
30.06.2022 11:00 - 30.06.2022 12:00,0,0,0,0,0,0,600,600,600
30.06.2022 12:00 - 30.06.2022 13:00,0,0,0,0,0,0,621,621,621
30.06.2022 13:00 - 30.06.2022 14:00,0,0,0,0,0,0,633,633,633
30.06.2022 14:00 - 30.06.2022 15:00,0,0,0,0,0,0,635,635,635
30.06.2022 15:00 - 30.06.2022 16:00,0,0,0,0,0,0,583,583,583
30.06.2022 16:00 - 30.06.2022 17:00,0,0,0,0,0,0,552,552,552
30.06.2022 17:00 - 30.06.2022 18:00,0,0,0,0,0,0,497,497,497
30.06.2022 18:00 - 30.06.2022 19:00,0,0,0,0,0,0,448,448,448
30.06.2022 19:00 - 30.06.2022 20:00,0,0,0,0,0,0,447,447,447
30.06.2022 20:00 - 30.06.2022 21:00,0,0,0,0,0,0,416,416,416
30.06.2022 21:00 - 30.06.2022 22:00,0,0,0,0,0,0,412,412,412
30.06.2022 22:00 - 30.06.2022 23:00,0,0,0,0,0,0,465,465,465
30.06.2022 23:00 - 01.07.2022 00:00,0,0,0,0,0,0,474,474,474
01.07.2022 00:00 - 01.07.2022 01:00,0,0,0,0,0,0,449,449,449
01.07.2022 01:00 - 01.07.2022 02:00,0,0,0,0,0,0,506,506,506
01.07.2022 02:00 - 01.07.2022 03:00,0,0,0,0,0,0,554,554,554
01.07.2022 03:00 - 01.07.2022 04:00,0,0,0,0,0,0,640,640,640
01.07.2022 04:00 - 01.07.2022 05:00,0,0,0,0,0,0,782,782,782
01.07.2022 05:00 - 01.07.2022 06:00,0,0,0,0,0,0,790,790,790
01.07.2022 06:00 - 01.07.2022 07:00,0,0,0,0,0,0,772,772,772
01.07.2022 07:00 - 01.07.2022 08:00,0,0,0,0,0,0,773,773,773
01.07.2022 08:00 - 01.07.2022 09:00,0,0,0,0,0,0,769,769,769
01.07.2022 09:00 - 01.07.2022 10:00,0,0,0,0,0,0,770,770,770
01.07.2022 10:00 - 01.07.2022 11:00,0,0,0,0,0,0,862,862,862
01.07.2022 11:00 - 01.07.2022 12:00,0,0,0,0,0,0,976,976,976
01.07.2022 12:00 - 01.07.2022 13:00,0,0,0,0,0,0,1067,1067,1067
01.07.2022 13:00 - 01.07.2022 14:00,0,0,0,0,0,0,1150,1150,1150
01.07.2022 14:00 - 01.07.2022 15:00,0,0,0,0,0,0,1218,1218,1218
01.07.2022 15:00 - 01.07.2022 16:00,0,0,0,0,0,0,1222,1222,1222
01.07.2022 16:00 - 01.07.2022 17:00,0,0,0,0,0,0,1218,1218,1218
01.07.2022 17:00 - 01.07.2022 18:00,0,0,0,0,0,0,1220,1220,1220
01.07.2022 18:00 - 01.07.2022 19:00,0,0,0,0,0,0,1148,1148,1148
01.07.2022 19:00 - 01.07.2022 20:00,0,0,0,0,0,0,1254,1254,1254
01.07.2022 20:00 - 01.07.2022 21:00,0,0,0,0,0,0,1217,1217,1217
01.07.2022 21:00 - 01.07.2022 22:00,0,0,0,0,0,0,1271,1271,1271
01.07.2022 22:00 - 01.07.2022 23:00,0,0,0,0,0,0,1297,1297,1297
01.07.2022 23:00 - 02.07.2022 00:00,0,0,0,0,0,0,1387,1387,1387
02.07.2022 00:00 - 02.07.2022 01:00,0,0,0,0,0,0,1396,1396,1396
02.07.2022 01:00 - 02.07.2022 02:00,0,0,0,0,0,0,1502,1502,1502
02.07.2022 02:00 - 02.07.2022 03:00,0,0,0,0,0,0,1457,1457,1457
02.07.2022 03:00 - 02.07.2022 04:00,0,0,0,0,0,0,1439,1439,1439
02.07.2022 04:00 - 02.07.2022 05:00,0,0,0,0,0,0,1493,1493,1493
02.07.2022 05:00 - 02.07.2022 06:00,0,0,0,0,0,0,1506,1506,1506
02.07.2022 06:00 - 02.07.2022 07:00,0,0,0,0,0,0,1500,1500,1500
02.07.2022 07:00 - 02.07.2022 08:00,0,0,0,0,0,0,1424,1424,1424
02.07.2022 08:00 - 02.07.2022 09:00,0,0,0,0,0,0,1284,1284,1284
02.07.2022 09:00 - 02.07.2022 10:00,0,0,0,0,0,0,1233,1233,1233
02.07.2022 10:00 - 02.07.2022 11:00,0,0,0,0,0,0,1213,1213,1213
02.07.2022 11:00 - 02.07.2022 12:00,0,0,0,0,0,0,1239,1239,1239
02.07.2022 12:00 - 02.07.2022 13:00,0,0,0,0,0,0,1346,1346,1346
02.07.2022 13:00 - 02.07.2022 14:00,0,0,0,0,0,0,1405,1405,1405
02.07.2022 14:00 - 02.07.2022 15:00,0,0,0,0,0,0,1545,1545,1545
02.07.2022 15:00 - 02.07.2022 16:00,0,0,0,0,0,0,1625,1625,1625
02.07.2022 16:00 - 02.07.2022 17:00,0,0,0,0,0,0,1604,1604,1604
02.07.2022 17:00 - 02.07.2022 18:00,0,0,0,0,0,0,1597,1597,1597
02.07.2022 18:00 - 02.07.2022 19:00,0,0,0,0,0,0,1575,1575,1575
02.07.2022 19:00 - 02.07.2022 20:00,0,0,0,0,0,0,1544,1544,1544
02.07.2022 20:00 - 02.07.2022 21:00,0,0,0,0,0,0,1578,1578,1578
02.07.2022 21:00 - 02.07.2022 22:00,0,0,0,0,0,0,1687,1687,1687
02.07.2022 22:00 - 02.07.2022 23:00,0,0,0,0,0,0,1698,1698,1698
02.07.2022 23:00 - 03.07.2022 00:00,0,0,0,0,0,0,1801,1801,1801
03.07.2022 00:00 - 03.07.2022 01:00,0,0,0,0,0,0,1893,1893,1893
03.07.2022 01:00 - 03.07.2022 02:00,0,0,0,0,0,0,2018,2018,2018
03.07.2022 02:00 - 03.07.2022 03:00,0,0,0,0,0,0,2091,2091,2091
03.07.2022 03:00 - 03.07.2022 04:00,0,0,0,0,0,0,2058,2058,2058
03.07.2022 04:00 - 03.07.2022 05:00,0,0,0,0,0,0,1987,1987,1987
03.07.2022 05:00 - 03.07.2022 06:00,0,0,0,0,0,0,1881,1881,1881
03.07.2022 06:00 - 03.07.2022 07:00,0,0,0,0,0,0,1790,1790,1790
03.07.2022 07:00 - 03.07.2022 08:00,0,0,0,0,0,0,1831,1831,1831
03.07.2022 08:00 - 03.07.2022 09:00,0,0,0,0,0,0,1793,1793,1793
03.07.2022 09:00 - 03.07.2022 10:00,0,0,0,0,0,0,1655,1655,1655
03.07.2022 10:00 - 03.07.2022 11:00,0,0,0,0,0,0,1460,1460,1460
03.07.2022 11:00 - 03.07.2022 12:00,0,0,0,0,0,0,1288,1288,1288
03.07.2022 12:00 - 03.07.2022 13:00,0,0,0,0,0,0,1250,1250,1250
03.07.2022 13:00 - 03.07.2022 14:00,0,0,0,0,0,0,1156,1156,1156
03.07.2022 14:00 - 03.07.2022 15:00,0,0,0,0,0,0,1011,1011,1011
03.07.2022 15:00 - 03.07.2022 16:00,0,0,0,0,0,0,948,948,948
03.07.2022 16:00 - 03.07.2022 17:00,0,0,0,0,0,0,870,870,870
03.07.2022 17:00 - 03.07.2022 18:00,0,0,0,0,0,0,810,810,810
03.07.2022 18:00 - 03.07.2022 19:00,0,0,0,0,0,0,722,722,722
03.07.2022 19:00 - 03.07.2022 20:00,0,0,0,0,0,0,665,665,665
03.07.2022 20:00 - 03.07.2022 21:00,0,0,0,0,0,0,628,628,628
03.07.2022 21:00 - 03.07.2022 22:00,0,0,0,0,0,0,570,570,570
03.07.2022 22:00 - 03.07.2022 23:00,0,0,0,0,0,0,525,525,525
03.07.2022 23:00 - 04.07.2022 00:00,0,0,0,0,0,0,499,499,499
04.07.2022 00:00 - 04.07.2022 01:00,0,0,0,0,0,0,476,476,476
04.07.2022 01:00 - 04.07.2022 02:00,0,0,0,0,0,0,480,480,480
04.07.2022 02:00 - 04.07.2022 03:00,0,0,0,0,0,0,522,522,522
04.07.2022 03:00 - 04.07.2022 04:00,0,0,0,0,0,0,511,511,511
04.07.2022 04:00 - 04.07.2022 05:00,0,0,0,0,0,0,515,515,515
04.07.2022 05:00 - 04.07.2022 06:00,0,0,0,0,0,0,526,526,526
04.07.2022 06:00 - 04.07.2022 07:00,0,0,0,0,0,0,585,585,585
04.07.2022 07:00 - 04.07.2022 08:00,0,0,0,0,0,0,652,652,652
04.07.2022 08:00 - 04.07.2022 09:00,0,0,0,0,0,0,673,673,673
04.07.2022 09:00 - 04.07.2022 10:00,0,0,0,0,0,0,661,661,661
04.07.2022 10:00 - 04.07.2022 11:00,0,0,0,0,0,0,724,724,724
04.07.2022 11:00 - 04.07.2022 12:00,0,0,0,0,0,0,732,732,732
04.07.2022 12:00 - 04.07.2022 13:00,0,0,0,0,0,0,726,726,726
04.07.2022 13:00 - 04.07.2022 14:00,0,0,0,0,0,0,731,731,731
04.07.2022 14:00 - 04.07.2022 15:00,0,0,0,0,0,0,743,743,743
04.07.2022 15:00 - 04.07.2022 16:00,0,0,0,0,0,0,723,723,723
04.07.2022 16:00 - 04.07.2022 17:00,0,0,0,0,0,0,737,737,737
04.07.2022 17:00 - 04.07.2022 18:00,0,0,0,0,0,0,722,722,722
04.07.2022 18:00 - 04.07.2022 19:00,0,0,0,0,0,0,764,764,764
04.07.2022 19:00 - 04.07.2022 20:00,0,0,0,0,0,0,809,809,809
04.07.2022 20:00 - 04.07.2022 21:00,0,0,0,0,0,0,931,931,931
04.07.2022 21:00 - 04.07.2022 22:00,0,0,0,0,0,0,1049,1049,1049
04.07.2022 22:00 - 04.07.2022 23:00,0,0,0,0,0,0,1162,1162,1162
04.07.2022 23:00 - 05.07.2022 00:00,0,0,0,0,0,0,1318,1318,1318
05.07.2022 00:00 - 05.07.2022 01:00,0,0,0,0,0,0,1348,1348,1348
05.07.2022 01:00 - 05.07.2022 02:00,0,0,0,0,0,0,1393,1393,1393
05.07.2022 02:00 - 05.07.2022 03:00,0,0,0,0,0,0,1198,1198,1198
05.07.2022 03:00 - 05.07.2022 04:00,0,0,0,0,0,0,1197,1197,1197
05.07.2022 04:00 - 05.07.2022 05:00,0,0,0,0,0,0,1121,1121,1121
05.07.2022 05:00 - 05.07.2022 06:00,0,0,0,0,0,0,1172,1172,1172
05.07.2022 06:00 - 05.07.2022 07:00,0,0,0,0,0,0,1144,1144,1144
05.07.2022 07:00 - 05.07.2022 08:00,0,0,0,0,0,0,1204,1204,1204
05.07.2022 08:00 - 05.07.2022 09:00,0,0,0,0,0,0,1220,1220,1220
05.07.2022 09:00 - 05.07.2022 10:00,0,0,0,0,0,0,1179,1179,1179
05.07.2022 10:00 - 05.07.2022 11:00,0,0,0,0,0,0,1187,1187,1187
05.07.2022 11:00 - 05.07.2022 12:00,0,0,0,0,0,0,1200,1200,1200
05.07.2022 12:00 - 05.07.2022 13:00,0,0,0,0,0,0,1192,1192,1192
05.07.2022 13:00 - 05.07.2022 14:00,0,0,0,0,0,0,1228,1228,1228
05.07.2022 14:00 - 05.07.2022 15:00,0,0,0,0,0,0,1477,1477,1477
05.07.2022 15:00 - 05.07.2022 16:00,0,0,0,0,0,0,1653,1653,1653
05.07.2022 16:00 - 05.07.2022 17:00,0,0,0,0,0,0,1866,1866,1866
05.07.2022 17:00 - 05.07.2022 18:00,0,0,0,0,0,0,1985,1985,1985
05.07.2022 18:00 - 05.07.2022 19:00,0,0,0,0,0,0,2191,2191,2191
05.07.2022 19:00 - 05.07.2022 20:00,0,0,0,0,0,0,2328,2328,2328
05.07.2022 20:00 - 05.07.2022 21:00,0,0,0,0,0,0,2357,2357,2357
05.07.2022 21:00 - 05.07.2022 22:00,0,0,0,0,0,0,2313,2313,2313
05.07.2022 22:00 - 05.07.2022 23:00,0,0,0,0,0,0,2428,2428,2428
05.07.2022 23:00 - 06.07.2022 00:00,0,0,0,0,0,0,2246,2246,2246
06.07.2022 00:00 - 06.07.2022 01:00,0,0,0,0,0,0,2162,2162,2162
06.07.2022 01:00 - 06.07.2022 02:00,0,0,0,0,0,0,2071,2071,2071
06.07.2022 02:00 - 06.07.2022 03:00,0,0,0,0,0,0,1954,1954,1954
06.07.2022 03:00 - 06.07.2022 04:00,0,0,0,0,0,0,1939,1939,1939
06.07.2022 04:00 - 06.07.2022 05:00,0,0,0,0,0,0,2040,2040,2040
06.07.2022 05:00 - 06.07.2022 06:00,0,0,0,0,0,0,2036,2036,2036
06.07.2022 06:00 - 06.07.2022 07:00,0,0,0,0,0,0,1871,1871,1871
06.07.2022 07:00 - 06.07.2022 08:00,0,0,0,0,0,0,1747,1747,1747
06.07.2022 08:00 - 06.07.2022 09:00,0,0,0,0,0,0,1549,1549,1549
06.07.2022 09:00 - 06.07.2022 10:00,0,0,0,0,0,0,1536,1536,1536
06.07.2022 10:00 - 06.07.2022 11:00,0,0,0,0,0,0,1561,1561,1561
06.07.2022 11:00 - 06.07.2022 12:00,0,0,0,0,0,0,1537,1537,1537
06.07.2022 12:00 - 06.07.2022 13:00,0,0,0,0,0,0,1533,1533,1533
06.07.2022 13:00 - 06.07.2022 14:00,0,0,0,0,0,0,1561,1561,1561
06.07.2022 14:00 - 06.07.2022 15:00,0,0,0,0,0,0,1582,1582,1582
06.07.2022 15:00 - 06.07.2022 16:00,0,0,0,0,0,0,1598,1598,1598
06.07.2022 16:00 - 06.07.2022 17:00,0,0,0,0,0,0,1428,1428,1428
06.07.2022 17:00 - 06.07.2022 18:00,0,0,0,0,0,0,1142,1142,1142
06.07.2022 18:00 - 06.07.2022 19:00,0,0,0,0,0,0,1050,1050,1050
06.07.2022 19:00 - 06.07.2022 20:00,0,0,0,0,0,0,1149,1149,1149
06.07.2022 20:00 - 06.07.2022 21:00,0,0,0,0,0,0,1215,1215,1215
06.07.2022 21:00 - 06.07.2022 22:00,0,0,0,0,0,0,1363,1363,1363
06.07.2022 22:00 - 06.07.2022 23:00,0,0,0,0,0,0,1411,1411,1411
06.07.2022 23:00 - 07.07.2022 00:00,0,0,0,0,0,0,1464,1464,1464
07.07.2022 00:00 - 07.07.2022 01:00,0,0,0,0,0,0,1564,1564,1564
07.07.2022 01:00 - 07.07.2022 02:00,0,0,0,0,0,0,1668,1668,1668
07.07.2022 02:00 - 07.07.2022 03:00,0,0,0,0,0,0,1971,1971,1971
07.07.2022 03:00 - 07.07.2022 04:00,0,0,0,0,0,0,2179,2179,2179
07.07.2022 04:00 - 07.07.2022 05:00,0,0,0,0,0,0,2296,2296,2296
07.07.2022 05:00 - 07.07.2022 06:00,0,0,0,0,0,0,2380,2380,2380
07.07.2022 06:00 - 07.07.2022 07:00,0,0,0,0,0,0,2444,2444,2444
07.07.2022 07:00 - 07.07.2022 08:00,0,0,0,0,0,0,2367,2367,2367
07.07.2022 08:00 - 07.07.2022 09:00,0,0,0,0,0,0,2408,2408,2408
07.07.2022 09:00 - 07.07.2022 10:00,0,0,0,0,0,0,2496,2496,2496
07.07.2022 10:00 - 07.07.2022 11:00,0,0,0,0,0,0,2513,2513,2513
07.07.2022 11:00 - 07.07.2022 12:00,0,0,0,0,0,0,2582,2582,2582
07.07.2022 12:00 - 07.07.2022 13:00,0,0,0,0,0,0,2576,2576,2576
07.07.2022 13:00 - 07.07.2022 14:00,0,0,0,0,0,0,2610,2610,2610
07.07.2022 14:00 - 07.07.2022 15:00,0,0,0,0,0,0,2608,2608,2608
07.07.2022 15:00 - 07.07.2022 16:00,0,0,0,0,0,0,2589,2589,2589
07.07.2022 16:00 - 07.07.2022 17:00,0,0,0,0,0,0,2542,2542,2542
07.07.2022 17:00 - 07.07.2022 18:00,0,0,0,0,0,0,2467,2467,2467
07.07.2022 18:00 - 07.07.2022 19:00,0,0,0,0,0,0,2404,2404,2404
07.07.2022 19:00 - 07.07.2022 20:00,0,0,0,0,0,0,2346,2346,2346
07.07.2022 20:00 - 07.07.2022 21:00,0,0,0,0,0,0,2265,2265,2265
07.07.2022 21:00 - 07.07.2022 22:00,0,0,0,0,0,0,2225,2225,2225
07.07.2022 22:00 - 07.07.2022 23:00,0,0,0,0,0,0,2091,2091,2091
07.07.2022 23:00 - 08.07.2022 00:00,0,0,0,0,0,0,1883,1883,1883
08.07.2022 00:00 - 08.07.2022 01:00,0,0,0,0,0,0,1602,1602,1602
08.07.2022 01:00 - 08.07.2022 02:00,0,0,0,0,0,0,1431,1431,1431
08.07.2022 02:00 - 08.07.2022 03:00,0,0,0,0,0,0,1291,1291,1291
08.07.2022 03:00 - 08.07.2022 04:00,0,0,0,0,0,0,1180,1180,1180
08.07.2022 04:00 - 08.07.2022 05:00,0,0,0,0,0,0,1136,1136,1136
08.07.2022 05:00 - 08.07.2022 06:00,0,0,0,0,0,0,1292,1292,1292
08.07.2022 06:00 - 08.07.2022 07:00,0,0,0,0,0,0,1598,1598,1598
08.07.2022 07:00 - 08.07.2022 08:00,0,0,0,0,0,0,1843,1843,1843
08.07.2022 08:00 - 08.07.2022 09:00,0,0,0,0,0,0,2051,2051,2051
08.07.2022 09:00 - 08.07.2022 10:00,0,0,0,0,0,0,2085,2085,2085
08.07.2022 10:00 - 08.07.2022 11:00,0,0,0,0,0,0,2044,2044,2044
08.07.2022 11:00 - 08.07.2022 12:00,0,0,0,0,0,0,2001,2001,2001
08.07.2022 12:00 - 08.07.2022 13:00,0,0,0,0,0,0,2035,2035,2035
08.07.2022 13:00 - 08.07.2022 14:00,0,0,0,0,0,0,2054,2054,2054
08.07.2022 14:00 - 08.07.2022 15:00,0,0,0,0,0,0,2141,2141,2141
08.07.2022 15:00 - 08.07.2022 16:00,0,0,0,0,0,0,2228,2228,2228
08.07.2022 16:00 - 08.07.2022 17:00,0,0,0,0,0,0,2208,2208,2208
08.07.2022 17:00 - 08.07.2022 18:00,0,0,0,0,0,0,2205,2205,2205
08.07.2022 18:00 - 08.07.2022 19:00,0,0,0,0,0,0,2033,2033,2033
08.07.2022 19:00 - 08.07.2022 20:00,0,0,0,0,0,0,2011,2011,2011
08.07.2022 20:00 - 08.07.2022 21:00,0,0,0,0,0,0,1886,1886,1886
08.07.2022 21:00 - 08.07.2022 22:00,0,0,0,0,0,0,1812,1812,1812
08.07.2022 22:00 - 08.07.2022 23:00,0,0,0,0,0,0,1706,1706,1706
08.07.2022 23:00 - 09.07.2022 00:00,0,0,0,0,0,0,1767,1767,1767
09.07.2022 00:00 - 09.07.2022 01:00,0,0,0,0,0,0,1974,1974,1974
09.07.2022 01:00 - 09.07.2022 02:00,0,0,0,0,0,0,2128,2128,2128
09.07.2022 02:00 - 09.07.2022 03:00,0,0,0,0,0,0,2265,2265,2265
